filler type.1,matrix type,filler size/nm,BET,cage size/A,aperture size/A,loading amout,thickness/μm,T/℃,P/bar,Control CH4 permeability,Control CO2/CH4 selectivity,Relative CO2 permeability,Relative CO2/CH4 selectivity
Cu3BTC2,Matrimid 5218,10000,1600,12,3.4,0.2,55,35,5,0.355,23.38028169,1.771084337,2.372584678
ZIF-8,Matrimid 5218,60,1450,11.6,3.4,0.1,55,22,4,0.23,35.08695652,1.693928129,0.865785488
MIL-125,Matrimid 9725,150,930,10.7,5.5,0.2,,35,9,0.133333333,30,3.65,1.366666667
MIL-125,Matrimid 9725,1750,1040,10.7,5.5,0.3,,35,9,0.133333333,30,3.375,1.24
MIL-53,FDH,100,795,7.8,7.8,0.1,,35,11.2,3,18.03333333,0.870609982,4.353049908
MIL-125,PSF,650,1300,10.7,6,0.3,10,30,3,0.431818182,22,4.210526316,1.327272727
MOF-5,PI,3000,2387,7.8,7.8,0.05,40,25,1,0.22,9.318181818,1.843902439,1.021809916
ZIF-8,6FDA-Durene/DABA (9/1),80,1350,11.6,3.4,0.1,50,3,10,13.1,19.54198473,1.17578125,0.981065884
MOF-5,PI,3000,2387,7.8,7.8,0.05,40,25,3,0.225,9.777777778,2.318181818,0.853667609
UiO-67,6FDA-ODA,1000,1998,21,11.7,0.25,30,35,11.2,0.33,43.63636364,1.444444444,0.34047619
MIL-101,SPEEK,500,3175,19.9,7.5,0.2,65,25,1,75.3968254,7.56,1.807017544,1.361111111
MOF-5,PI,3000,2387,7.8,7.8,0.05,40,25,2,0.223,9.417040359,2.285714286,0.93525557
Co4(μ4-O)(Me2pzba)3,Matrimid 5218,3000,1850,14,6,0.24,90,30,3,0.21,41.42857143,1.494252874,1.426332288
Cu–BPY–HFS,Matrimid 5218,250,2000,8,8,0.2,,35,3.9,0.21,34.71428571,1.355281207,0.790580704
MOF-5,PI,3000,2387,7.8,7.8,0.05,40,25,1,0.22,9.318181818,1.780487805,1.125595739
MOF-5,PI,3000,2387,7.8,7.8,0.05,40,25,1,0.22,9.318181818,2.2,0.989775051
ZIF-8,PPEES,4900,1550,11.8,3.4,0.1,,30,1,0.3,25,1.4,0.933333333
MIL-53,PSF,1000,1475,,6,0.15,75,35,3,0.211570248,24.2,1.015625,1.004132231
ZIF-11,Matrimid 5218,1000,1100,16.5,3,0.2,70,35,4,0.26,16.15384615,2.797619048,1.69158361
ZIF-67,PEBAX 1657,300,1465,11.6,3.3,0.03,95,35,11,4.1,17.09756098,2.201141227,1.583277023
ZIF-8,Pebax2533,400,1350,11.6,3.4,0.25,50,25,2,42,8.357142857,3.082621083,0.95903767
ZIF-8,PEGDA,200,1500,11.8,3.4,0.1,125,35,,6.5,20,2.461538462,1
Cu3BTC2,Matrimid 5218,10000,1071,8.6,8.6,0.1,42.5,35,10,0.556179775,17.8,1.555555556,1.224719101
MIL-101,PI,1000,519,19.9,12,0.08,75,35,3,0.236842105,38,1.133333333,0.918947368
MOF-5,PI,3000,2387,7.8,7.8,0.05,40,25,3,0.225,9.777777778,2.354545455,0.878561737
ZIF-8,6FDA-HAB DAM-7,50,1350,11.6,3.4,0.1,60,35,1,12.7,23.93700787,1.391447368,1.004055772
MOF-5,PI,3000,2387,7.8,7.8,0.05,40,25,5,0.249,9.236947791,2.513043478,0.827708765
UiO-66,Matrimid 5218,350,980,11,6,0.1,100,25,3,0.6,30,2.166666667,2.1
UiO-66,6FDA-DAM,,965,11,6,0.16,125,25,2,35.0877193,28.5,1.23,1.070175439
ZIF-8,P84,30,1821,11.8,3.4,0.17,20,25,3,0.049,54.28571429,2.379699248,1.714783282
ZIF-8,PVC-g-POEM,250,1350,11.6,3.4,0.2,,35,1,2.4,18.125,5.165517241,0.655938697
MOF-74,PIM-1-TD,11000,1250,11,11,0.1,50,25,2,536,12.26865672,1.429440389,1.083705868
UiO-66,Matrimid 5218,350,980,11,6,0.05,100,25,3,0.6,30,2.194444444,1.5
ZIF-7,PEBAX 1657,35,1100,7.5,3,0.34,1.052,20,3.5,5.142857143,14,0.569444444,3.142857143
MOF-5,PI,3000,2387,7.8,7.8,0.05,40,25,3,0.225,9.777777778,3.081818182,0.901702329
MIL-53,Matrimid 5218,650,1350,,6,0.25,90,35,3,0.260869565,34.5,0.955555556,1.002898551
MIL-125,Matrimid 9725,1750,1040,10.7,5.5,0.15,,35,9,0.133333333,30,2.5,1.44
ZIF-8,PEBAX 1657,275,1029,11.6,3.4,0.2,80,25,1,4,19,2.131578947,0.812030075
MIL-125,Matrimid 9725,150,930,10.7,5.5,0.15,,35,9,0.133333333,30,2,1.616666667
MIL-53,6FDA/ODA-DAM,125,840,7.8,7.8,0.15,61.5,35,11.2,6.4,20.3125,0.869230769,1.390769231
Cu3BTC2,Ultem 1000,1000,1439,,8.6,0.3,42.5,35,3.5,0.031003535,36.77,3.622807018,0.924394887
MMIF,Matrimid 5218,45,420,3.35,3.35,0.2,60,35,4,0.19,35.89473684,1.268328446,0.948749625
MOF-5,PI,3000,2387,7.8,7.8,0.05,40,25,5,0.249,9.236947791,2.656521739,0.845874569
ZIF-8,PEBAX 1657,700,1506,11.6,3.4,0.03,95,35,11,4.1,17.09756098,1.793152639,1.166972352
UiO-66,6FDD,324,537,11,6,0.2,50,35,3,5.3,31.13207547,1.53030303,1.013825758
MOF-5,PI,3000,2387,7.8,7.8,0.05,40,25,4,0.227,9.911894273,2.311111111,0.957339822
[Ni3(HCOO)6],BTDA-TDI/MDI (P84),400,293,4.6,4.6,0.07,,30,5,0.016363636,44,1.458333333,1.431818182
NUS-8,PIM-1-TT,5000,664,6,6,0.05,65,25,1,272.1088435,14.7,2.125,1.217687075
ZIF-71,PIM-1-TT,,996.4,16.5,4.2,0.3,60,35,3.5,322.2,10.22563625,2.542598719,1.093029096
UiO-66,6FDA-DAM,,965,11,6,0.06,125,25,2,35.0877193,28.5,1.15,1.052631579
MOF-5,PI,3000,2387,7.8,7.8,0.05,40,25,2,0.223,9.417040359,3.19047619,1.016394558
UiO-66,PIM-1-TT,30,950,11,6,0.4,1,25,4,206.8965517,14.5,0.666666667,1.655172414
ZIF-8,6FDA-Durene,150,1350,11.6,3.4,0.03,50,25,2,65,22.58923077,1.085200572,0.97026186
